ticker,isin,company_name,company_type_profile,missing_dividend_fcf_kpis,missing_dividend_fcf_kpi_count,covered_dividend_fcf_kpis,covered_dividend_fcf_kpi_count,required_dividend_fcf_kpi_count,fcf_margin,payout_ratio_fcf,fcf_per_share_cagr_5y,dividend_fcf_review_status,dividend_fcf_source_type,dividend_fcf_source_name,dividend_fcf_source_reference,dividend_fcf_source_as_of_date,dividend_fcf_reviewed_by,dividend_fcf_reviewed_at,dividend_fcf_notes,dividend_fcf_input_status,sec_scope_status,evidence_registry_status,evidence_applied_status,recommended_closure_path,next_review_action,reason_code
US02079K3059,US02079K3059,"Alphabet Inc. Reg. Shs Cap.Stk Cl. A DL-,001",STANDARD,fcf_margin; fcf_per_share_cagr_5y; payout_ratio_fcf,3,,0,3,,,,,,,,,,,,MISSING,SEC_ELIGIBLE,NO_EVIDENCE,NO_APPLIED_VALUE,SEC_EVIDENCE_POSSIBLE,Run reviewed SEC evidence workflow or provide reviewed manual dividend/FCF inputs.,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION;SEC_IDENTITY_AVAILABLE
US0378331005,US0378331005,Apple Inc. Registered Shares o.N.,STANDARD,fcf_margin; fcf_per_share_cagr_5y; payout_ratio_fcf,3,,0,3,,,,,,,,,,,,MISSING,SEC_ELIGIBLE,NO_EVIDENCE,NO_APPLIED_VALUE,SEC_EVIDENCE_POSSIBLE,Run reviewed SEC evidence workflow or provide reviewed manual dividend/FCF inputs.,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION;SEC_IDENTITY_AVAILABLE
US0394831020,US0394831020,Archer Daniels Midland Co. Registered Shares o.N.,STANDARD,fcf_margin; fcf_per_share_cagr_5y; payout_ratio_fcf,3,,0,3,,,,,,,,,,,,MISSING,SEC_ELIGIBLE,NO_EVIDENCE,NO_APPLIED_VALUE,SEC_EVIDENCE_POSSIBLE,Run reviewed SEC evidence workflow or provide reviewed manual dividend/FCF inputs.,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION;SEC_IDENTITY_AVAILABLE
US22788C1053,US22788C1053,"Crowdstrike Holdings Inc Registered Shs Cl.A DL-,0005",STANDARD,fcf_margin; fcf_per_share_cagr_5y; payout_ratio_fcf,3,,0,3,,,,,,,,,,,,MISSING,SEC_ELIGIBLE,NO_EVIDENCE,NO_APPLIED_VALUE,SEC_EVIDENCE_POSSIBLE,Run reviewed SEC evidence workflow or provide reviewed manual dividend/FCF inputs.,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION;SEC_IDENTITY_AVAILABLE
US2546871060,US2546871060,"Walt Disney Co., The Registered Shares DL -,01",STANDARD,fcf_margin; fcf_per_share_cagr_5y; payout_ratio_fcf,3,,0,3,,,,,,,,,,,,MISSING,SEC_ELIGIBLE,NO_EVIDENCE,NO_APPLIED_VALUE,SEC_EVIDENCE_POSSIBLE,Run reviewed SEC evidence workflow or provide reviewed manual dividend/FCF inputs.,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION;SEC_IDENTITY_AVAILABLE
US5949181045,US5949181045,"Microsoft Corp. Registered Shares DL-,00000625",STANDARD,fcf_margin; fcf_per_share_cagr_5y; payout_ratio_fcf,3,,0,3,,,,,,,,,,,,MISSING,SEC_ELIGIBLE,NO_EVIDENCE,NO_APPLIED_VALUE,SEC_EVIDENCE_POSSIBLE,Run reviewed SEC evidence workflow or provide reviewed manual dividend/FCF inputs.,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION;SEC_IDENTITY_AVAILABLE
US69608A1088,US69608A1088,Palantir Technologies Inc. Registered Shares o.N.,STANDARD,fcf_margin; fcf_per_share_cagr_5y; payout_ratio_fcf,3,,0,3,,,,,,,,,,,,MISSING,SEC_ELIGIBLE,NO_EVIDENCE,NO_APPLIED_VALUE,SEC_EVIDENCE_POSSIBLE,Run reviewed SEC evidence workflow or provide reviewed manual dividend/FCF inputs.,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION;SEC_IDENTITY_AVAILABLE
US8522341036,US8522341036,Block Inc. Registered Shs Class A,STANDARD,fcf_margin; fcf_per_share_cagr_5y; payout_ratio_fcf,3,,0,3,,,,,,,,,,,,MISSING,SEC_ELIGIBLE,NO_EVIDENCE,NO_APPLIED_VALUE,SEC_EVIDENCE_POSSIBLE,Run reviewed SEC evidence workflow or provide reviewed manual dividend/FCF inputs.,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION;SEC_IDENTITY_AVAILABLE
US92826C8394,US92826C8394,"VISA Inc. Reg. Shares Class A DL -,0001",STANDARD,fcf_margin; fcf_per_share_cagr_5y; payout_ratio_fcf,3,,0,3,,,,,,,,,,,,MISSING,SEC_ELIGIBLE,NO_EVIDENCE,NO_APPLIED_VALUE,SEC_EVIDENCE_POSSIBLE,Run reviewed SEC evidence workflow or provide reviewed manual dividend/FCF inputs.,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION;SEC_IDENTITY_AVAILABLE
US98138J5039,US98138J5039,"Workhorse Group Inc. Registered Shares New DL-,001",STANDARD,fcf_margin; fcf_per_share_cagr_5y; payout_ratio_fcf,3,,0,3,,,,,,,,,,,,MISSING,SEC_ELIGIBLE,NO_EVIDENCE,NO_APPLIED_VALUE,SEC_EVIDENCE_POSSIBLE,Run reviewed SEC evidence workflow or provide reviewed manual dividend/FCF inputs.,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION;SEC_IDENTITY_AVAILABLE
