rank,ticker,company_name,legacy_target_action,legacy_allocation_status,monthly_action,monthly_action_reason_code,schema_status,suggested_buy_amount_eur,constraint_checks
1,HOLD_CASH,Cash halten,HOLD_CASH,SELECTED_THIS_MONTH,NO_ACTION,LEGACY_TARGET_ACTION_HOLD_CASH,PASS,500.0,portfolio_rule=hold_cash_allowed
2,IE00BP3QZ825,iShsIV-Edge MSCI Wo.Mo.F.U.ETF Registered Shares USD (Acc)o.N,DO_NOT_BUY,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=JA; datenqualitaet_ok=NEIN; allowed_amount_eur=500.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=keine needs_research=True
3,US5949181045,"Microsoft Corp. Registered Shares DL-,00000625",WAIT_VALUATION,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=fcf_margin; fcf_per_share_cagr_5y; normalized_fcf_yield_pct; payout_ratio_fcf; target_fcf_yield_pct needs_research=True; kpi_tier_guardrail=valuation_data_status_MISSING
4,US0378331005,Apple Inc. Registered Shares o.N.,WAIT_VALUATION,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=fcf_margin; fcf_per_share_cagr_5y; normalized_fcf_yield_pct; payout_ratio_fcf; target_fcf_yield_pct needs_research=True; kpi_tier_guardrail=valuation_data_status_MISSING
5,US0394831020,Archer Daniels Midland Co. Registered Shares o.N.,WAIT_VALUATION,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=fcf_margin; fcf_per_share_cagr_5y; normalized_fcf_yield_pct; operating_margin; payout_ratio_fcf; revenue_cagr_5y; target_fcf_yield_pct needs_research=True; kpi_tier_guardrail=valuation_data_status_MISSING
6,US2546871060,"Walt Disney Co., The Registered Shares DL -,01",WAIT_VALUATION,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=eps_cagr_5y; fcf_margin; fcf_per_share_cagr_5y; gross_margin; normalized_fcf_yield_pct; payout_ratio_fcf; target_fcf_yield_pct needs_research=True; kpi_tier_guardrail=valuation_data_status_MISSING
7,US98138J5039,"Workhorse Group Inc. Registered Shares New DL-,001",WAIT_VALUATION,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; kpi_tier_guardrail=valuation_data_status_MISSING
8,US69608A1088,Palantir Technologies Inc. Registered Shares o.N.,WAIT_VALUATION,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=eps_cagr_5y; fcf_margin; fcf_per_share_cagr_5y; normalized_fcf_yield_pct; payout_ratio_fcf; target_fcf_yield_pct needs_research=True; kpi_tier_guardrail=valuation_data_status_MISSING
9,US92826C8394,"VISA Inc. Reg. Shares Class A DL -,0001",REVIEW_CORE_DATA,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=eps_cagr_5y; fcf_margin; fcf_per_share_cagr_5y; gross_margin; normalized_fcf_yield_pct; payout_ratio_fcf; revenue_cagr_5y; share_count_cagr_5y; target_fcf_yield_pct needs_research=True; kpi_tier_guardrail=core_quality_data_status_MISSING
10,NL0010273215,"ASML Holding N.V. Aandelen op naam EO -,09",DO_NOT_BUY,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=keine needs_research=True
11,NL0012817175,"Alfen N.V. Registered Shares EO -,10",DO_NOT_BUY,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=keine needs_research=True
12,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",DO_NOT_BUY,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=keine needs_research=True
13,US0846707026,"Berkshire Hathaway Inc. Reg.Shares B New DL -,00333",DO_NOT_BUY,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0
14,US09290D1019,BlackRock Inc. Registered Shares o.N.,DO_NOT_BUY,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=keine needs_research=True
15,US22788C1053,"Crowdstrike Holdings Inc Registered Shs Cl.A DL-,0005",REVIEW_CORE_DATA,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=eps_cagr_5y; fcf_margin; fcf_per_share_cagr_5y; gross_margin; normalized_fcf_yield_pct; operating_margin; payout_ratio_fcf; revenue_cagr_5y; share_count_cagr_5y; target_fcf_yield_pct needs_research=True; kpi_tier_guardrail=core_quality_data_status_MISSING
16,US8740391003,Taiwan Semiconduct.Manufact.Co Reg.Shs (Spons.ADRs)/5 TA 10,DO_NOT_BUY,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=keine needs_research=True
17,US8522341036,Block Inc. Registered Shs Class A,REVIEW_CORE_DATA,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=fcf_margin; fcf_per_share_cagr_5y; gross_margin; normalized_fcf_yield_pct; operating_margin; payout_ratio_fcf; revenue_cagr_5y; target_fcf_yield_pct needs_research=True; kpi_tier_guardrail=core_quality_data_status_MISSING
18,US02079K3059,"Alphabet Inc. Reg. Shs Cap.Stk Cl. A DL-,001",REVIEW_CORE_DATA,NOT_ELIGIBLE,WAIT_FOR_VALUATION,VALUATION_REVIEW_OR_MISSING,PASS,0.0,kaufbarkeit=GEBLOCKT; business_score_ok=NEIN; valuation_score_ok=NEIN; buy_score_ok=NEIN; positionslimit_ok=NEIN; datenqualitaet_ok=NEIN; allowed_amount_eur=0.0; fundamentals_coverage_guardrail=AKTIV status=PARTIAL method=ISIN missing_required=fcf_margin; fcf_per_share_cagr_5y; gross_margin; normalized_fcf_yield_pct; operating_margin; payout_ratio_fcf; revenue_cagr_5y; share_count_cagr_5y; target_fcf_yield_pct needs_research=True; kpi_tier_guardrail=core_quality_data_status_MISSING
